month,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,subscribersGained,subscribersLost,likes,shares,comments
2025-03,1550,5288,234,37.27,34,1,50,33,0
2025-04,2898,3709,137,30.709999999999997,26,3,23,6,5
2025-05,3209,6761,174,34.67,36,4,70,40,3
2025-06,3446,8183,172,32.06,44,5,53,41,1
2025-07,4877,13753,198,36.33,66,7,95,14,13
2025-08,5028,15562,214,39.83,50,12,130,27,4
2025-09,6941,18941,192,36.58,72,3,126,40,64
2025-10,8243,22854,195,38.26,55,8,96,30,7
2025-11,8995,25024,192,34.04,74,9,105,49,6
2025-12,7378,20606,196,34.94,53,14,95,46,4
2026-01,7471,19273,185,35.27,51,15,112,45,3
2026-02,8759,18584,158,35.79,46,18,97,40,4
