,,,,,,,,2024/07/01,2024/08/01,2024/09/01,2024/10/01,2024/11/01,2024/12/01,2025/01/01,2025/02/01,2025/03/01,2025/04/01,2025/05/01,2025/06/01,2025/07/01,2025/08/01,2025/09/01,2025/10/01,2025/11/01,2025/12,2026/1,2026/2
,,,,,,,,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09,2025/10,2025/11,2025/12,2026/1,2026/2
売上,,,,,,,,"¥2,443,780","¥1,150,420","¥2,454,080","¥1,632,120","¥2,884,220","¥1,965,700","¥2,932,219","¥959,520","¥2,692,016","¥5,002,656","¥2,330,604","¥3,890,140","¥4,633,998","¥3,811,090","¥7,528,590","¥6,984,685","¥6,051,970","¥5,810,860","¥5,084,399","¥5,272,258"
確定売上,,,,,,,,"¥2,443,780","¥1,150,420","¥2,430,300","¥1,632,120","¥2,884,220","¥1,965,700","¥2,939,629","¥959,520","¥2,624,120","¥4,930,080","¥2,554,028","¥3,773,350","¥4,311,318","¥3,177,640","¥6,878,466","¥6,117,985","¥3,826,180","¥4,008,610","¥4,647,680","¥4,059,036"
既卒スクール×エージェント事業,,,,,,,,,,,,,,,,,,,,,,,,,,,
,既卒売上(スクール確定分+人材紹介見込),,,,,,,"¥1,707,000","¥609,800","¥1,841,160","¥905,000","¥2,291,180","¥1,385,980","¥1,785,159","¥684,200","¥1,358,076","¥2,810,756","¥720,876","¥2,044,750","¥2,866,710","¥2,822,050","¥6,126,230","¥5,974,500","¥4,847,540","¥4,453,050","¥3,807,919","¥4,309,878"
,既卒売上(人材確定分),,,,,,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥4,003,230","¥2,356,200",¥0,¥0,¥0,¥0
,既卒売上(スクール確定分),,,,,,,"¥1,707,000","¥609,800","¥1,817,380","¥905,000","¥2,291,180","¥1,385,980","¥1,785,159","¥684,200","¥1,285,500","¥2,738,180","¥944,300","¥1,903,000","¥2,538,120","¥2,017,600","¥1,421,000","¥2,751,600","¥2,408,440","¥2,650,800","¥3,371,200","¥3,109,616"
,,成約数(申し込み日基準),,,,,,5,2,5,4,11,5,6,3,5,10,3,8,9,10,9,12,10,9,11,8
,,,,organic,,,,5,2,4,4,11,5,6,3,5,9,2,7,8,8,7,9,8,7,11,5
,,,,,"SEO(直LP,note含む)",,,2,0,2,2,5,3,3,1,1,4,1,4,4,3,4,6,3,3,6,1
,,,,,SEO(Blog),,,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,1,2,1,2,0
,,,,,X,,,1,1,2,1,3,0,1,2,1,1,1,0,1,0,0,0,1,0,1,1
,,,,,コンサルタイムズ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,Youtube,,,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,2,0,1,2,2
,,,,,ココナラ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Udemy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,有料note,,,0,1,0,1,3,0,2,0,1,2,0,2,0,0,0,0,0,2,0,0
,,,,,アフィリエイト・インフルエンサー,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,,,,イベント,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,口コミ・紹介,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
,,,,,その他,,,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0
,,,,paid,,,,0,0,1,0,0,0,0,0,0,1,1,1,1,2,2,3,2,2,0,3
,,,,,Google広告,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,2
,,,,,FB広告,,,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,2,2,2,0,1
,,,,,その他広告,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,成約率,,,,,56%,50%,38%,67%,85%,36%,50%,25%,56%,43%,27%,38%,33%,53%,41%,50%,48%,56%,69%,42%
,,,,暫定成約率（追加指導後を分母）,,,,56%,50%,38%,67%,85%,36%,50%,25%,56%,43%,27%,38%,33%,53%,41%,50%,48%,56%,69%,62%
,,,,,,,,63%,50%,36%,67%,85%,36%,50%,25%,56%,47%,22%,54%,42%,53%,47%,50%,47%,54%,85%,45%
,,,,,"SEO(直LP,note含む)",,,50%,0%,33%,50%,83%,43%,50%,20%,33%,57%,20%,100%,44%,75%,67%,55%,43%,50%,75%,20%
,,,,,SEO(Blog),,,,,0%,,,67%,,0%,0%,0%,,25%,0%,67%,25%,50%,100%,50%,200%,
,,,,,X,,,100%,50%,100%,100%,75%,0%,33%,40%,100%,25%,50%,0%,100%,0%,,0%,100%,0%,100%,100%
,,,,,コンサルタイムズ,,,,,,,,,,0%,,0%,,,0%,0%,0%,0%,0%,0%,0%,33%
,,,,,Youtube,,,,,,,,,,0%,,100%,,,50%,0%,33%,100%,0%,50%,67%,67%
,,,,,ココナラ,,,,,,,,,,,,,,,,,,,,,,
,,,,,Udemy,,,,,,,,,,,,,,,,,,,,,,
,,,,,有料note,,,0%,100%,0%,100%,100%,0%,67%,,100%,40%,0%,100%,0%,,0%,0%,0%,100%,,
,,,,,アフィリエイト・インフルエンサー,,,,,,,,,,,,,,0%,,0%,100%,0%,0%,,,
,,,,,イベント,,,,,,,,,,,,,,,,,,,,,,
,,,,,口コミ・紹介,,,,,,,,,,,,100%,0%,,,33%,,,,,,
,,,,,その他,,,100%,,0%,,,,,,67%,,,0%,,100%,,,67%,,,
,,,,,,,,0%,,50%,,,,,,,25%,50%,13%,13%,50%,29%,50%,50%,67%,0%,38%
,,,,,Google広告,,,,,,,,,,,,33%,50%,0%,0%,0%,50%,50%,,,0%,100%
,,,,,FB広告,,,0%,,50%,,,,,,,0%,,25%,17%,100%,0%,50%,50%,67%,0%,17%
,,,,,その他広告,,,,,,,,,,,,,,,,,,,,,,
,,,,初回営業→追加指導前,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,,,実施数,,,,,9,4,13,6,13,14,12,12,9,23,11,21,27,19,22,24,21,16,16,19
,,,,organic,,,,8,4,11,6,13,14,12,12,9,19,9,13,19,15,15,18,17,13,13,11
,,,,,"SEO(直LP,note含む)",,,4,1,6,4,6,7,6,5,3,7,5,4,9,4,6,11,7,6,8,5
,,,,,SEO(Blog),,,0,0,1,0,0,3,0,1,1,1,0,4,2,3,4,2,2,2,1,0
,,,,,X,,,1,2,2,1,4,3,3,5,1,4,2,1,1,1,0,1,1,1,1,1
,,,,,コンサルタイムズ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,,,,,Youtube,,,0,0,0,0,0,0,0,1,0,1,0,0,6,1,3,2,2,2,3,3
,,,,,ココナラ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Udemy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,有料note,,,1,1,1,1,3,1,3,0,1,5,1,2,1,0,1,1,1,2,0,0
,,,,,アフィリエイト・インフルエンサー,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
,,,,,イベント,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,口コミ・紹介,,,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0
,,,,,その他,,,2,0,1,0,0,0,0,0,3,0,0,1,0,2,0,0,3,0,0,0
,,,,paid,,,,1,0,2,0,0,0,0,0,0,4,2,8,8,4,7,6,4,3,3,8
,,,,,Google広告,,,0,0,0,0,0,0,0,0,0,3,2,4,2,2,4,2,0,0,1,2
,,,,,FB広告,,,1,0,2,0,0,0,0,0,0,1,0,4,6,2,3,4,4,3,2,6
,,,,,その他広告,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,実施率(/日程確定),,,,,100%,100%,100%,100%,93%,,100%,100%,90%,92%,100%,72%,77%,95%,96%,86%,75%,89%,80%,73%
,,,,organic,,,,100%,100%,100%,100%,93%,100%,100%,100%,100%,90%,100%,68%,95%,94%,94%,82%,74%,93%,81%,69%
,,,,,"SEO(直LP,note含む)",,,100%,100%,100%,100%,100%,100%,100%,100%,100%,88%,100%,57%,90%,80%,100%,92%,64%,100%,89%,83%
,,,,,SEO(Blog),,,,,100%,,,100%,,100%,100%,100%,,100%,100%,100%,100%,100%,67%,100%,50%,0%
,,,,,X,,,100%,100%,100%,100%,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%
,,,,,コンサルタイムズ,,,,,,,,,,0%,,0%,,,0%,0%,0%,0%,0%,0%,0%,67%
,,,,,Youtube,,,,,,,,,,100%,,100%,,,100%,100%,100%,67%,100%,67%,100%,100%
,,,,,ココナラ,,,,,,,,,,,,,,,,,,,,,,
,,,,,Udemy,,,,,,,,,,,,,,,,,,,,,,0%
,,,,,有料note,,,100%,100%,100%,100%,100%,100%,100%,,100%,100%,100%,50%,100%,,100%,100%,100%,100%,,
,,,,,アフィリエイト・インフルエンサー,,,,,,,,,,,,0%,,100%,,100%,100%,100%,100%,,,
,,,,,イベント,,,,,,,,,,,,,,,,,,,,,,
,,,,,口コミ・紹介,,,,,,,,,,,,100%,100%,,,100%,,,,,,
,,,,,その他,,,100%,,100%,,,,,,100%,,,50%,,100%,0%,0%,75%,,0%,
,,,,paid,,,,100%,,100%,,,,,,0%,100%,100%,80%,53%,100%,100%,100%,80%,75%,75%,80%
,,,,,Google広告,,,,,,,,,,,0%,100%,100%,80%,50%,100%,100%,100%,,,100%,67%
,,,,,FB広告,,,100%,,100%,,,,,,,100%,,80%,55%,100%,100%,100%,80%,75%,67%,86%
,,,,,その他広告,,,,,,,,,,,,,,,,,,,,,,
,,,日程確定数,,,,,9,4,13,6,14,,12,12,10,25,11,29,35,20,23,28,28,18,20,26
,,,,organic,,,,8,4,11,6,14,14,12,12,9,21,9,19,20,16,16,22,23,14,16,16
,,,,,"SEO(直LP,note含む)",,,4,1,6,4,6,7,6,5,3,8,5,7,10,5,6,12,11,6,9,6
,,,,,SEO(Blog),,,0,0,1,0,0,3,0,1,1,1,0,4,2,3,4,2,3,2,2,1
,,,,,X,,,1,2,2,1,5,3,3,5,1,4,2,1,1,1,0,1,1,1,1,1
,,,,,コンサルタイムズ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,,,,,Youtube,,,0,0,0,0,0,0,0,1,0,1,0,0,6,1,3,3,2,3,3,3
,,,,,ココナラ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Udemy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,有料note,,,1,1,1,1,3,1,3,0,1,5,1,4,1,0,1,1,1,2,0,0
,,,,,アフィリエイト・インフルエンサー,,,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0
,,,,,イベント,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,口コミ・紹介,,,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0
,,,,,その他,,,2,0,1,0,0,0,0,0,3,0,0,2,0,2,1,2,4,0,1,0
,,,,paid,,,,1,0,2,0,0,0,0,0,1,4,2,10,15,4,7,6,5,4,4,10
,,,,,Google広告,,,0,0,0,0,0,0,0,0,1,3,2,5,4,2,4,2,0,0,1,3
,,,,,FB広告,,,1,0,2,0,0,0,0,0,0,1,0,5,11,2,3,4,5,4,3,7
,,,,,その他広告,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,日程確定率,,,,,100%,80%,100%,100%,88%,,100%,100%,83%,93%,65%,81%,88%,83%,79%,80%,74%,90%,87%,90%
