,,,,,,,,,,,,各月の再生回数→
No.,動画名,サムネイル,動画名キーワード,カテゴリ,クリック率,平均視聴時間,平均再生率,30秒時点での視聴維持率,おすすめシェア,総再生回数確認用,総再生回数,2025/12,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9,2025/10,2025/11,2025/12,2026/1
,,,,,,,,,,,,746,564,724,1080,754,1376,1953,3016,3427,4488,5085,5885,4428,4356
1,売上向上系ケース面接攻略のコツ【戦略コンサル志望者必見！】,,"ケース面接, 売上向上, 戦略コンサル",ケース対策,7.00%,4:21,28.7％,63%,55.50%,"1,008","4,005",184,72,145,207,138,270,295,323,227,274,440,739,217,254
2,フェルミ推定攻略のコツ【戦コン内定者直伝！】,,"フェルミ推定, 戦コン内定者",フェルミ対策,6.30%,3:26,40.60%,65%,37.80%,305,"1,244",117,29,26,51,37,47,58,107,73,54,115,157,106,141
3,ビヘイビア面接突破のコツ【戦略コンサル内定者が教える】,,"ビヘイビア, 戦コン内定者",ビヘイビア,5.60%,3:37,35.80%,71%,51.10%,259,795,135,25,16,40,14,32,49,45,77,79,61,40,54,71
4,ジョブ落ちする人の特徴【戦略コンサル内定者が教える】,,戦コン内定者,Job対策,5.50%,3:17,32.50%,69%,48.10%,401,"1,337",236,23,23,47,23,54,88,151,207,93,81,79,66,97
5,"フェルミ推定の正しい対策方法【""その""対策方法間違っています…】",,フェルミ推定,フェルミ対策,4.40%,4:32,42.20%,68%,22.00%,170,366,37,40,28,38,11,17,24,27,14,19,26,24,20,22
6,ケース面接対策方法【上位1%の就活生がやっている】,,ケース面接,ケース対策,8.30%,3:06,34.00%,62%,19.50%,234,"1,191",37,55,43,34,28,37,35,69,66,70,156,127,119,129
7,ケース面接で使えるビジネスモデル7選【コンサル志望者必見！】,,"ケース面接, コンサル",ケース対策,6.80%,4:23,39.70%,85%,28.70%,266,"1,297",,85,49,49,28,57,83,109,91,94,159,199,130,100
8,布団の市場規模推定【フェルミ推定ポイント解説】戦コン内定者が解説！,,"フェルミ推定, 市場規模推定, 戦コン内定者",フェルミ対策,6.30%,3:38,51.20%,63%,15.90%,152,582,,77,25,17,9,24,26,30,19,28,41,75,58,69
9,ケース面接で使える用語解説【コンサル志望者必見！】,,"ケース面接, コンサル",ケース対策,4.50%,4:48,37.00%,68%,9.90%,290,540,,119,47,81,25,18,27,40,30,24,43,35,23,15
10,【新卒】戦コン内定者インタビュー #1「選コミュ全落ちから内定獲得の秘訣は〇〇」,,"戦コン内定者, 選コミュ",インタビュー,2.90%,2:21,25.70%,38%,7.60%,127,373,,39,38,20,10,23,23,45,21,9,49,20,15,29
11,【新卒】戦コン内定者インタビュー#2「短期間で内定レベルのケース力を習得した秘訣とは」,,戦コン内定者,インタビュー,4.20%,3:11,30.20%,59%,10.60%,141,237,,,87,26,17,10,24,19,12,12,15,9,6,0
12,【GD無敗戦コン内定者が教える】GD落ちする人の特徴7選,,"戦コン内定者, GD",GD対策,3.50%,3:00,33.70%,59%,9.70%,116,183,,,81,14,9,13,25,16,13,11,1,0,0,0
13,戦コン就活にいくら使うべき？（内定者間の実態、投資思考の重要性）,,戦コン内定者,インタビュー,2.90%,3:05,35.00%,54%,6.30%,106,163,,,62,21,19,4,6,8,12,8,11,8,4,0
14,葬儀屋の売上向上【ケース面接ポイント解説シリーズ】,,"ケース面接, 売上向上",ケース対策,6.50%,4:59,49.00%,71%,27.10%,199,"1,095",,,54,70,33,44,46,60,138,117,122,124,82,108
15,ケース面接のプロ（元MBB）に聞く！思考力が伸びる人・伸びない人の違い,,"ケース面接, MBB",ケース対策,4.10%,3:59,33.10%,55%,21.30%,187,419,,,,126,22,39,24,49,33,38,33,18,14,15
16,【戦略コンサル内定者】電子ピアノの売上向上ポイント解説,,"戦コン内定者, 戦略コンサル, 売上向上",ケース対策,5.90%,5:32,52.70%,70%,20.10%,164,433,,,,93,36,35,30,44,43,34,39,22,16,25
