day,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,subscribersGained,subscribersLost,likes,shares,comments
2025-12-04,215,774,245,39.72,0,0,5,1,0
2025-12-05,232,700,208,36.75,3,1,2,0,0
2025-12-06,267,607,152,26.36,0,1,3,6,0
2025-12-07,277,846,207,34.26,3,2,2,1,0
2025-12-08,280,676,167,32.89,1,0,0,1,0
2025-12-09,444,1134,191,36.85,2,0,6,2,0
2025-12-10,375,1022,197,34.51,3,1,12,1,1
2025-12-11,335,888,180,31.5,3,1,6,21,0
2025-12-12,234,558,169,31.22,2,2,3,0,0
2025-12-13,198,556,202,35.06,4,0,2,0,0
2025-12-14,219,658,212,37.94,2,0,2,0,0
2025-12-15,240,770,213,34.65,1,0,3,3,0
2025-12-16,209,518,174,31.019999999999996,4,0,2,0,0
2025-12-17,287,711,172,32.58,1,0,2,0,1
2025-12-18,282,719,183,30.97,1,1,2,1,0
2025-12-19,184,378,148,26.69,1,1,5,0,0
2025-12-20,230,572,186,33.04,2,1,3,0,0
2025-12-21,236,864,257,43.87,0,0,1,0,0
2025-12-22,206,596,200,37.88,5,0,5,0,0
2025-12-23,208,391,140,33.02,0,0,-1,0,0
2025-12-24,212,479,172,35.51,1,0,3,0,0
2025-12-25,172,425,174,26.450000000000003,2,0,3,0,0
2025-12-26,167,328,156,32.9,1,0,0,1,0
2025-12-27,188,786,277,41.01,1,0,2,1,0
2025-12-28,285,952,222,38.23,1,1,7,2,0
2025-12-29,206,604,201,36.88,1,0,3,0,0
2025-12-30,154,430,194,36.72,2,0,1,2,0
2025-12-31,111,390,238,39.95,1,1,-1,0,0
2026-01-01,159,331,155,32.03,1,0,0,0,0
2026-01-02,199,569,182,31.64,2,0,2,1,0
2026-01-03,195,619,217,39.89,3,1,2,0,0
2026-01-04,172,569,224,36.86,5,1,3,2,0
2026-01-05,196,528,194,37.37,2,0,3,0,0
2026-01-06,218,683,221,37.6,1,1,5,3,0
2026-01-07,292,904,216,41.57,1,0,5,2,1
2026-01-08,209,512,181,41.59,0,0,1,0,0
2026-01-09,170,355,153,32.34,2,1,3,0,0
2026-01-10,314,973,208,31.730000000000004,2,1,10,4,1
2026-01-11,236,497,158,30.9,1,0,4,1,0
2026-01-12,288,840,204,35.01,1,1,5,3,0
2026-01-13,343,837,187,40.12,0,1,8,0,0
2026-01-14,268,722,199,41.23,1,0,4,4,0
2026-01-15,372,937,178,33.24,2,1,11,1,1
2026-01-16,248,658,188,34.97,0,0,6,2,0
2026-01-17,258,753,207,39.3,1,0,8,0,0
2026-01-18,285,754,200,40.39,2,0,5,0,0
2026-01-19,277,872,212,37.83,1,0,0,1,0
2026-01-20,280,702,178,37.33,5,0,5,0,0
2026-01-21,262,686,194,31.869999999999997,5,1,2,2,0
2026-01-22,227,424,141,32.83,0,0,3,2,0
2026-01-23,263,461,133,27.060000000000002,0,2,1,2,0
2026-01-24,188,489,191,36.26,1,0,3,1,0
2026-01-25,189,434,168,31.71,0,0,2,2,0
2026-01-26,175,416,168,30.049999999999997,2,3,3,1,0
2026-01-27,261,624,173,37.44,3,0,4,0,0
2026-01-28,205,468,165,30.56,2,1,1,1,0
2026-01-29,249,459,136,28.02,2,0,1,0,0
2026-01-30,254,664,189,37.07,0,0,0,10,0
2026-01-31,219,519,177,35.08,3,0,2,0,0
2026-02-01,370,869,164,32.33,1,0,5,2,0
2026-02-02,232,587,178,36.89,6,1,3,0,0
2026-02-03,168,339,149,32.42,0,3,3,1,0
2026-02-04,280,558,155,38.05,1,2,1,3,1
2026-02-05,236,602,180,37.85,1,1,1,0,0
2026-02-06,244,465,152,38.13,0,0,4,1,0
2026-02-07,216,455,163,33.28,2,1,3,1,0
2026-02-08,239,541,168,32.43,2,0,3,1,0
2026-02-09,252,535,160,32.25,2,1,2,1,0
2026-02-10,287,689,177,38.86,0,1,1,2,0
2026-02-11,251,577,170,36.55,0,0,6,0,0
2026-02-12,248,524,165,35.81,2,1,0,0,0
2026-02-13,335,519,123,32.01,1,1,6,1,0
2026-02-14,481,891,136,33.75,3,3,5,3,0
2026-02-15,430,908,164,42.93,2,0,7,4,1
2026-02-16,438,881,153,40.38,3,0,5,2,0
2026-02-17,527,880,128,35.65,1,0,2,0,0
2026-02-18,337,646,144,37.38,3,0,4,1,0
2026-02-19,294,653,176,44.05,0,0,3,1,0
2026-02-20,323,578,139,36.5,3,1,2,1,0
2026-02-21,238,628,190,37.85,2,0,3,0,0
2026-02-22,334,739,164,34.77,1,0,5,2,1
2026-02-23,334,792,173,34.92,1,1,1,1,0
2026-02-24,354,853,181,41.93,1,1,9,0,1
2026-02-25,313,656,157,34.54,2,0,2,1,0
2026-02-26,274,678,181,36.54,1,0,6,7,0
2026-02-27,324,702,156,36.22,1,0,4,0,0
2026-02-28,400,825,145,25.989999999999995,4,0,1,4,0
