video_id,title,published_at,views,likes,comments,duration
mksqC3wLHt0,【元BCG面接が指導】ケース面接実践 -結婚式場の売上向上-,2026-02-22,280,2,4,PT12M35S
5MFgdCteO2c,【徹底解説】元戦コンマネージャーが教えるコンサル業界で生き残る秘訣,2026-02-14,108,2,1,PT9M44S
vA8EAk1lVFw,【衝撃】AIでコンサルは潰れるのか？元戦略コンサルマネージャーが徹底解説,2026-02-01,149,5,1,PT8M49S
W9rPxJjm2rI,戦コン元マネが若手社会人に贈る！必読のビジネス本4選,2026-01-15,191,4,1,PT8M34S
MARkWbCnKN8,戦略コンサルのマネージャーだけど質問ある？,2026-01-10,263,8,1,PT12M45S
zEEIOQoxDlo,外資と日系の戦略コンサルの違いとは？ボスコン・DI・IGPIを渡り歩いたコンサルタントに聞いてみた。,2025-12-28,514,10,1,PT10M10S
zuTbwSabDPg,受け身では終わる。元BCGが教えるコンサルで生き残る唯一の解,2025-12-09,330,9,1,PT11M42S
6PFXSULvTAE,ボスコンからお笑い芸人に転身/異色の経歴を深掘る,2025-11-30,334,9,1,PT23M32S
6r7xYLOS19g,【フェルミ推定】プロ講師がメモの取り方や立式のコツを解説,2025-11-16,320,13,3,PT8M
eVdMenrHapE,【あなたも要注意】戦コン社員のリアルなやらかしを赤裸々告白,2025-11-02,253,6,2,PT9M33S
juLn_RETWao,【ケース面接実践】戦略コンサル元面接官が売上向上のお題を徹底解説,2025-10-25,1999,48,1,PT14M56S
rqpv_6Ie_AU,戦略コンサルの㊙︎英語勉強法,2025-10-20,186,1,0,PT35S
hJj-a8r-Kq0,戦略コンサルで英語は必要なのか？,2025-10-19,431,2,0,PT42S
n-nSUWFKk2A,戦略コンサルで英語は必要なのか？業務/選考の両側面から元社員が解説,2025-10-18,323,6,1,PT8M4S
4KHg6rP312U,【人生薔薇色！？】コンサル卒業後のキャリアを元戦略コンサル社員に語ってもらいました,2025-10-06,133,2,0,PT37S
jlQxMeUsmcY,【ここで差がつく】戦略コンサル元面接官が選考上の評価ポイントを大公開！,2025-10-04,411,8,1,PT9M9S
JpxHjlz9RSU,【元戦コン社員が語る】Bainの社員の特徴,2025-09-28,1265,6,0,PT1M4S
eS8JHbaCxPs,【ポストコンサル】戦略コンサル元社員がキャリアの実情を本音で解説,2025-09-27,445,3,1,PT9M40S
swa_kAeGFE0,【元戦コン社員が語る】McKinsey社員の特徴,2025-09-26,2850,12,0,PT25S
kni_jrM9UhE,【元戦コン社員が語る】BCGの社員の特徴,2025-09-25,436,1,0,PT59S
